OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1231,2020-012AL,2025-05-24T23:12:20.002752,15.06404242,.0001089,53.0546,242.7461,81.9589,278.1523,0,U,45212,999,29067,.86238E-4,.1004E-4,0
STARLINK-1271,2020-012AR,2025-05-24T13:55:00.869088,15.06398071,.0001192,53.0549,244.4810,82.0632,278.0492,0,U,45217,999,29060,.54738E-4,.534E-5,0
STARLINK-1187,2020-012AT,2025-05-25T06:00:02.000160,15.91384073,.0006079,53.0368,145.2080,37.3571,351.5600,0,U,45219,999,29203,.64316E-3,.20875E-2,.27249E-4
STARLINK-1191,2020-012AW,2025-05-24T22:05:59.686944,15.06415751,.000104,53.0539,222.9514,100.4708,259.6399,0,U,45222,999,29187,.34262E-3,.4828E-4,0
STARLINK-1212,2020-012AX,2025-05-24T12:59:24.983232,15.06383363,.0001159,53.0539,225.3111,86.5686,273.5436,0,U,45223,999,29181,-.1228E-3,-.2109E-4,0
STARLINK-1215,2020-012AZ,2025-05-24T15:06:40.635936,15.06399973,.0000886,53.0539,224.2582,95.7676,264.3414,0,U,45225,999,29178,.69452E-4,.753E-5,0
STARLINK-1217,2020-012BA,2025-05-22T15:00:20.819808,15.16510502,.0001022,53.0535,233.0320,91.1079,269.0032,0,U,45226,999,29144,.1227E-1,.250252E-2,0
STARLINK-1221,2020-012BB,2025-05-24T20:16:35.398560,15.32456149,.0003832,53.0697,187.0594,162.0278,198.0859,0,U,45227,999,29230,.24921E-3,.7559E-4,0
STARLINK-1222,2020-012BC,2025-05-24T14:18:53.918496,15.06394738,.0000395,53.0542,224.4063,29.0589,331.0422,0,U,45228,999,29171,-.23516E-4,-.631E-5,0
STARLINK-1226,2020-012BD,2025-05-25T05:21:13.117536,15.06393387,.0001066,53.0551,221.5956,80.0069,280.1040,0,U,45229,999,29098,.10105E-3,.1224E-4,0
STARLINK-1227,2020-012BE,2025-05-25T05:15:55.210464,15.06394127,.0000937,53.0547,221.6122,85.5456,274.5640,0,U,45230,999,29098,.1075E-3,.132E-4,0
STARLINK-1238,2020-012BH,2025-05-22T14:28:06.527712,15.12321670,.0000833,53.0549,253.1496,68.6033,291.5047,0,U,45233,999,29030,.72492E-2,.129052E-2,0
STARLINK-1246,2020-012BK,2025-05-24T18:28:21.152928,15.06407268,.0001104,53.0547,263.6281,92.3977,267.7138,0,U,45235,999,29131,.38039E-3,.539E-4,0
STARLINK-1247,2020-012BL,2025-05-22T16:17:31.399296,15.12262063,.0002406,53.0543,232.8519,57.1362,302.9861,0,U,45236,999,29153,.51748E-2,.91401E-3,0
STARLINK-1270,2020-012BM,2025-05-25T05:42:27.386208,15.06393124,.0000853,53.0547,221.5290,82.2379,277.8707,0,U,45237,999,29098,.12743E-3,.1617E-4,0
STARLINK-1279,2020-019A,2025-05-24T19:09:29.818656,15.06403934,.0001718,53.0558,353.4969,117.6222,242.4941,0,U,45360,999,28659,.51227E-4,.482E-5,0
STARLINK-1301,2020-019B,2025-05-24T22:03:20.179584,15.06401417,.000135,53.0551,2.9613,92.7506,267.3638,0,U,45361,999,28648,.19637E-3,.2645E-4,0
STARLINK-1306,2020-019C,2025-05-25T00:45:13.086144,15.06408433,.0001431,53.0573,22.4539,90.2427,269.8726,0,U,45362,999,28622,-.24767E-5,-.318E-5,0
STARLINK-1262,2020-019G,2025-05-24T22:48:26.716608,15.06404656,.0001549,53.0559,22.8190,91.6315,268.4851,0,U,45366,999,28621,.13548E-3,.1737E-4,0
STARLINK-1273,2020-019H,2025-05-25T00:55:48.841536,15.06403365,.0000856,53.0575,22.4202,141.5438,218.5612,0,U,45367,999,28622,.3512E-4,.242E-5,0
STARLINK-1276,2020-019J,2025-05-24T16:15:40.494528,15.06400911,.0001551,53.0565,24.0400,109.2105,250.9051,0,U,45368,999,28617,.83278E-5,-.157E-5,0
STARLINK-1277,2020-019K,2025-05-24T22:27:19.580256,15.06408999,.0001413,53.0563,23.5159,89.5624,270.5527,0,U,45369,999,28620,.15409E-3,.2015E-4,0
STARLINK-1281,2020-019L,2025-05-24T22:21:54.698976,15.06403168,.0001455,53.0558,22.8996,92.6463,267.4693,0,U,45370,999,28618,.70102E-4,.763E-5,0
STARLINK-1300,2020-019Q,2025-05-24T21:18:13.135392,15.06403138,.0001309,53.0564,23.0985,94.5739,265.5400,0,U,45374,999,28620,.11682E-3,.1459E-4,0
STARLINK-1302,2020-019R,2025-05-25T02:26:03.728256,15.06408947,.0001707,53.0575,22.1400,112.6426,247.4743,0,U,45375,999,28623,.24529E-4,.84E-6,0
STARLINK-1304,2020-019S,2025-05-24T22:05:58.871328,15.06402173,.0001546,53.0579,22.9517,84.3055,275.8110,0,U,45376,999,28620,-.57839E-5,-.368E-5,0
STARLINK-1305,2020-019T,2025-05-24T21:07:35.855904,15.06404665,.0001425,53.0565,23.1334,92.3007,267.8145,0,U,45377,999,28620,.66308E-4,.706E-5,0
STARLINK-1319,2020-019V,2025-05-24T22:32:31.404768,15.06403890,.0001501,53.0563,22.8678,90.0867,270.0294,0,U,45379,999,28621,.11942E-3,.1498E-4,0
STARLINK-1258,2020-019X,2025-05-22T15:58:28.521696,15.17668883,.0001291,53.0546,12.7912,147.2380,212.8694,0,U,45381,999,28614,.15645E-1,.333788E-2,0
STARLINK-1266,2020-019Z,2025-05-24T08:15:19.667232,15.06399793,.0001403,53.0566,5.5389,94.1666,265.9484,0,U,45383,999,28639,.12822E-3,.1629E-4,0
STARLINK-1267,2020-019AA,2025-05-24T23:49:35.991552,15.06402513,.0001564,53.0571,3.2849,97.9757,262.1410,0,U,45384,999,28648,.12986E-4,-.88E-6,0
STARLINK-1272,2020-019AC,2025-05-24T20:49:01.229376,15.06404817,.0001526,53.0573,3.1902,85.9468,274.1696,0,U,45386,999,28647,.76294E-4,.855E-5,0
STARLINK-1274,2020-019AD,2025-05-25T00:31:56.645760,15.06406860,.0001496,53.0545,2.4962,86.0032,274.1128,0,U,45387,999,28647,.16585E-3,.219E-4,0
STARLINK-1280,2020-019AE,2025-05-25T01:22:21.527904,15.06410046,.0001468,53.0562,22.3407,91.8880,268.2277,0,U,45388,999,28622,.26445E-4,.113E-5,0
STARLINK-1283,2020-019AF,2025-05-24T18:31:01.900128,15.06409086,.0001354,53.0558,3.6176,100.0429,260.0713,0,U,45389,999,28646,.10557E-3,.1292E-4,0
STARLINK-1284,2020-019AG,2025-05-24T21:04:56.482464,15.06408308,.0001375,53.0576,3.1357,109.6848,250.4290,0,U,45390,999,28647,-.64511E-5,-.378E-5,0
STARLINK-1292,2020-019AL,2025-05-24T21:15:33.304896,15.06404357,.0001393,53.0552,3.1092,82.6235,277.4912,0,U,45394,999,28621,.43052E-3,.6138E-4,0
STARLINK-1297,2020-019AM,2025-05-24T23:33:32.502816,15.06415148,.0001455,53.0559,2.6776,96.6658,263.4497,0,U,45395,999,28625,.17844E-3,.2378E-4,0
STARLINK-1307,2020-019AP,2025-05-24T23:22:56.708544,15.06406551,.0001407,53.0555,2.7112,95.8640,264.2510,0,U,45397,999,28631,.17305E-3,.2297E-4,0
STARLINK-1312,2020-019AQ,2025-05-25T00:47:51.821952,15.06409545,.0001431,53.0551,2.4460,92.8995,267.2158,0,U,45398,999,28625,.10818E-3,.1331E-4,0
STARLINK-1255,2020-019AR,2025-05-24T21:00:57.801600,15.06401764,.00014,53.0558,353.1563,107.8071,252.3071,0,U,45399,999,28642,.5538E-4,.544E-5,0
