ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
9TE0,small_airport,Twin Acres Airport,340,NA,US,US-TX,Holden,,,9TE0,9TE0,"32.392338, -96.404329"
9TE2,small_airport,JL Bar Ranch,2344,NA,US,US-TX,Camden,,,9TE2,9TE2,"30.568731, -100.444462"
9TE4,small_airport,Tanner's Airport,15,NA,US,US-TX,Springfield,,,9TE4,9TE4,"28.569700241088867, -96.62969970703125"
9TE5,small_airport,Kalt Ranch Airport,15,NA,US,US-TX,Culleoka,,,9TE5,9TE5,"28.154499053955078, -96.97689819335938"
9TE6,small_airport,Rocky Creek Ranch Airport,390,NA,US,US-TX,Arlington,,,9TE6,9TE6,"29.921611, -96.800966"
9TE7,small_airport,Flying G H Ranch Airport,455,NA,US,US-TX,Covington,,,9TE7,9TE7,"30.245278, -97.082778"
9TN0,heliport,Summit Medical Center Heliport,530,NA,US,US-TN,Goodlettsville,,,9TN0,9TN0,"36.177799224853516, -86.6082992553711"
9TN1,small_airport,Versailles Aerodrome,855,NA,US,US-TN,Lebanon,,,9TN1,9TN1,"35.72999954223633, -86.53780364990234"
9TN2,small_airport,Meadowlark Airport,460,NA,US,US-TN,Sealy,,,9TN2,9TN2,"36.16389846801758, -88.2052993774414"
9TN4,small_airport,Foreman Field,705,NA,US,US-TN,Victoria,,,9TN4,9TN4,"36.457698822021484, -86.94599914550781"
9TN5,small_airport,Askey Field,810,NA,US,US-TN,Wallisville,,,9TN5,9TN5,"35.458176, -86.957338"
9TN6,heliport,Performance Helicopters Heliport,280,NA,US,US-TN,Wylie,,,9TN6,9TN6,"35.28860092163086, -89.67420196533203"
9TN7,small_airport,Baskin Airport,400,NA,US,US-TN,Alvarado,,,9TN7,9TN7,"35.534400939941406, -89.73500061035156"
9TN8,heliport,Dollar General Heliport,736,NA,US,US-TN,Galveston,,,9TN8,9TN8,"36.31330108642578, -86.69860076904297"
9TN9,small_airport,Toy Box Airport,630,NA,US,US-TN,Dallas,,,9TN9,9TN9,"36.01940155029297, -86.28810119628906"
9TS0,heliport,Diamond E Ranch Heliport,115,NA,US,US-TX,Dallas,,,9TS0,9TS0,"29.786100387573242, -96.04329681396484"
9TS1,heliport,One O'Connor Plaza-Tower Heliport,277,NA,US,US-TX,Houston,,,9TS1,9TS1,"28.800767, -97.005969"
9TS2,heliport,Cig 816 Heliport,23,NA,US,US-TX,Giddings,,,9TS2,9TS2,"29.861299514770508, -94.70099639892578"
9TS4,heliport,Ladue Ranch Heliport,520,NA,US,US-TX,Plainview,,,9TS4,9TS4,"33.007287, -96.506438"
9TS6,small_airport,Goodlett Field,690,NA,US,US-TX,Liberty Hill,,,9TS6,9TS6,"32.37889862060547, -97.17829895019531"
9TS7,heliport,U of Texas Medical Branch Ewing Hall Heliport,16,NA,US,US-TX,San Antonio,,,9TS7,9TS7,"29.313251, -94.778385"
9TS8,heliport,Dallas Rehabilitation Institute Heliport,428,NA,US,US-TX,Post,,,9TS8,9TS8,"32.84870147705078, -96.87889862060547"
9TS9,heliport,Toyota of Dallas Inc Heliport,487,NA,US,US-TX,Pottsboro,,,9TS9,9TS9,"32.907901763916016, -96.8906021118164"
