h3Index,lat,lon,parent_data_points,client_server_distance_km
841e023ffffffff,47.72392,18.070732,73442.0,137.4280493839483
841e025ffffffff,47.568856,17.016203,73442.0,85.78607194320081
841e027ffffffff,47.454313,17.603651,73442.0,124.39544185798744
841e029ffffffff,48.224322,17.35781,73442.0,73.02425923302302
841e02bffffffff,48.109318,17.950229,73442.0,117.54173635097976
841e02dffffffff,47.953455,16.890905,73442.0,47.812985222504054
841e031ffffffff,47.86929,19.13153,73442.0,208.5510213636612
841e033ffffffff,47.744297,19.720171,73442.0,254.45720852351286
841e035ffffffff,47.604171,18.658978,73442.0,183.183743129782
841e037ffffffff,47.481121,19.245952,73442.0,229.15928037990713
841e039ffffffff,48.25541,19.015965,73442.0,195.8590045496155
841e03bffffffff,48.131774,19.607689,73442.0,240.0494217036656
841e03dffffffff,47.990969,18.541509,73442.0,162.86792738213964
841e04bffffffff,49.893557,17.936275,73442.0,219.3121979465804
841e051ffffffff,49.660894,19.146275,73442.0,259.08669416234716
841e053ffffffff,49.539395,19.749162,73442.0,287.8699994085669
841e055ffffffff,49.40125,18.662242,73442.0,213.79739178227945
841e057ffffffff,49.281776,19.263385,73442.0,243.2426069251952
841e059ffffffff,50.037869,19.027966,73442.0,280.26560895230216
841e05bffffffff,49.917772,19.634089,73442.0,274.5046549380813
841e05dffffffff,49.778953,18.541936,73442.0,235.6813516536124
841e061ffffffff,48.716378,16.636602,73442.0,59.75757624318145
841e063ffffffff,48.606199,17.233064,73442.0,77.41138090894546
841e065ffffffff,48.444251,16.170056,73442.0,30.20546092104592
841e067ffffffff,48.33597,16.764377,73442.0,32.29098044296934
841e06bffffffff,48.985962,17.107079,73442.0,101.95752728948158
841e06dffffffff,48.823165,16.039271,73442.0,72.64194174061171
841e801ffffffff,42.050791,12.975217,94674.0,486.3987384834048
841e803ffffffff,41.945957,13.522782,94674.0,475.97844755241056
841e805ffffffff,41.751298,12.563148,94674.0,494.3144586125933
841e807ffffffff,41.647918,13.108396,94674.0,515.6859379058138
841e809ffffffff,42.45193,12.840871,94674.0,444.63134281133244
841e80bffffffff,42.348562,13.390854,94674.0,482.21300242894046
841e80dffffffff,42.152697,12.427591,94674.0,450.80180360324994
841e811ffffffff,42.132978,14.490298,94674.0,394.0280559374644
841e813ffffffff,42.020774,15.039559,94674.0,350.8064579203364
841e815ffffffff,41.8382,14.070184,94674.0,433.29235101057327
841e817ffffffff,41.727524,14.617324,94674.0,391.441348420528
841e819ffffffff,42.536717,14.362139,94674.0,401.91753809630256
841e81dffffffff,42.242243,13.940696,94674.0,437.90433677306845
841e82bffffffff,41.348184,12.697536,94674.0,538.4145979454548
841e831ffffffff,41.135635,13.783194,94674.0,476.83601014401825
841e833ffffffff,41.025056,14.325763,94674.0,438.816503484548
841e839ffffffff,41.541636,13.653557,94674.0,474.1520521168014
841e83bffffffff,41.432458,14.198535,94674.0,433.58114990104434
841e83dffffffff,41.243346,13.240419,94674.0,516.2355581694355
841e841ffffffff,42.950207,12.152915,94674.0,366.1193788668474
841e843ffffffff,42.851302,12.705344,94674.0,403.9348648236986
841e845ffffffff,42.649803,11.740894,94674.0,373.6818221597403
841e847ffffffff,42.552344,12.290851,94674.0,408.0078659182383
841e849ffffffff,43.346252,12.013768,94674.0,325.4110476713244
841e84bffffffff,43.248871,12.56862,94674.0,364.6017270739521
841e84dffffffff,43.046133,11.600576,94674.0,330.5880579070225
841e851ffffffff,43.045096,13.678256,94674.0,447.418490496518
841e855ffffffff,42.749416,13.257759,94674.0,443.4952706001196
841e857ffffffff,42.644553,13.810058,94674.0,447.20955083851584
841e859ffffffff,43.443836,13.545274,94674.0,412.33835063800467
841e85dffffffff,43.148485,13.123484,94674.0,405.40335116339
841e863ffffffff,41.851775,12.017913,94674.0,461.8157277156711
841e869ffffffff,42.347719,11.332551,94674.0,386.9474673995637
841e86bffffffff,42.251673,11.880002,94674.0,417.4730923343155
